transaction_id,user_id,transaction_date,amount
T97980,U0007,2022-04-13,1.59
T54081,U0007,2022-04-12,41.72
T54984,U0007,2022-10-06,170.76
T66775,U0007,2022-10-10,92.44
T45277,U0007,2022-11-12,41.13
T45573,U0007,2022-10-15,235.94
T56696,U0007,2022-04-20,148.11
T12277,U0007,2022-06-20,30.77
T80817,U0007,2022-03-08,103.65
T65488,U0007,2022-05-30,90.57
T65799,U0007,2022-07-11,51.28
T99738,U0007,2022-09-23,45.72
T19506,U0008,2022-10-30,31.63
T49710,U0008,2023-01-11,89.85
T89547,U0008,2022-06-05,113.98
T27641,U0008,2022-08-25,26.24
T61329,U0008,2022-04-22,61.04
T85395,U0008,2022-05-14,21.11
T50518,U0008,2022-09-24,5.38
T32383,U0008,2022-09-13,47.56
T78551,U0009,2022-12-01,140.58
T75451,U0009,2023-02-21,18.69
T30387,U0009,2023-02-16,52.67
T98294,U0009,2022-08-30,54.94
T11949,U0009,2023-01-25,172.49
T47422,U0009,2022-10-03,0.12
T58053,U0009,2022-06-11,35.79
T14735,U0009,2023-02-17,397.58
T78920,U0010,2022-12-29,16.54
T13751,U0010,2022-09-06,489.07
T58685,U0010,2023-04-01,261.73
T15233,U0010,2023-05-13,77.64
T72590,U0010,2022-11-30,184.54
T25877,U0011,2023-07-20,36.12
T10127,U0011,2023-09-15,30.53
T71218,U0011,2023-05-11,44.65
T64573,U0011,2023-08-30,9.17
T76159,U0011,2023-01-08,276.4
T65546,U0011,2023-07-15,80.7
T29348,U0011,2023-04-22,36.46
T74196,U0011,2023-09-19,50.58
T44536,U0012,2022-12-20,50.61
T95648,U0012,2022-08-23,77.59
T79776,U0012,2022-07-12,98.87
T23500,U0012,2022-12-02,112.18
T29546,U0012,2022-04-14,76.03
T65939,U0012,2022-11-27,127.81
T65157,U0013,2022-04-21,16.7
T88959,U0013,2022-04-28,25.31
T41835,U0013,2022-06-26,315.41
T57424,U0013,2022-09-24,85.11
T14120,U0013,2022-06-19,269.91
T87745,U0014,2023-10-07,93.23
T93689,U0014,2023-09-09,14.99
T25325,U0014,2023-10-15,228.54
T95745,U0014,2023-06-12,176.8
T26679,U0015,2022-06-30,330.0
T58750,U0015,2022-10-24,79.75
T43691,U0015,2022-09-30,337.62
T97219,U0015,2022-06-30,56.65
T39729,U0015,2022-08-23,37.37
T98012,U0016,2022-06-04,35.29
T97222,U0016,2022-10-08,56.27
T63809,U0016,2022-10-22,18.71
T25598,U0016,2022-06-27,7.76
T51214,U0016,2023-01-24,152.65
T72591,U0016,2022-09-22,30.84
T80385,U0016,2022-07-14,19.57
T90702,U0016,2022-10-13,117.64
T21396,U0016,2023-02-26,96.25
T69032,U0016,2022-05-20,100.29
T67365,U0016,2023-02-05,25.99
T54018,U0016,2022-09-22,26.48
T50345,U0016,2023-02-06,24.95
T54065,U0016,2022-11-09,19.09
T69528,U0016,2023-01-23,106.63
T59790,U0016,2022-07-10,188.4
T48677,U0017,2022-09-27,65.71
T27271,U0017,2022-12-11,19.47
T67861,U0017,2022-08-04,48.95
T47716,U0017,2023-02-14,331.93
T33789,U0017,2022-06-10,28.58
T66525,U0017,2022-11-05,14.36
T51905,U0017,2022-09-03,54.23
T94756,U0018,2023-01-27,22.17
T58719,U0018,2023-04-07,6.68
T23168,U0018,2023-03-27,4.36
T17813,U0018,2023-01-13,46.43
T55423,U0018,2022-11-22,30.9
T15273,U0018,2023-06-10,103.87
T38061,U0018,2023-07-09,69.18
T84573,U0018,2023-06-10,30.93
T11318,U0019,2022-10-23,166.43
T59487,U0019,2022-11-10,95.21
T98949,U0019,2023-01-09,196.3
T88031,U0019,2023-05-29,49.82
T47364,U0019,2022-12-10,312.86
T82215,U0019,2023-05-09,14.29
T70009,U0020,2023-04-13,220.18
T67917,U0020,2023-04-22,59.9
T24746,U0020,2023-04-23,214.1
T64999,U0020,2023-02-12,11.17
T96214,U0020,2023-01-31,444.61
T51553,U0020,2023-01-12,58.57
T22657,U0020,2023-03-21,4.9
T48843,U0020,2022-12-24,3.88
T11778,U0020,2023-08-13,137.12
T38440,U0020,2023-08-03,107.6
T73164,U0020,2023-09-17,162.01
T15134,U0020,2023-09-24,11.13
T46422,U0020,2023-07-05,3.62
T70260,U0020,2023-08-18,71.05
T34761,U0020,2023-09-30,49.04
T42452,U0020,2023-09-04,61.98
T51238,U0020,2023-07-16,477.81
T70756,U0020,2023-07-02,353.19
T29964,U0020,2023-03-03,285.28
T76761,U0021,2023-07-13,7.18
T24693,U0021,2023-07-13,321.45
T25722,U0021,2022-11-02,65.06
T71678,U0021,2023-03-12,226.16
T38675,U0021,2022-12-02,38.89
T84202,U0021,2023-02-13,13.38
T34028,U0021,2023-06-02,64.31
T37082,U0021,2023-06-05,12.1
T26001,U0021,2023-03-10,66.56
T44143,U0021,2023-07-08,252.95
T42523,U0021,2022-12-13,73.56
T53246,U0021,2023-08-13,95.84
T17093,U0021,2023-01-11,17.04
T30147,U0022,2023-04-12,103.79
T39421,U0022,2023-04-14,33.67
T52186,U0022,2023-01-14,169.25
T15632,U0022,2022-12-15,197.59
T27477,U0022,2022-11-16,187.41
T88207,U0022,2022-11-06,251.24
T76919,U0022,2023-04-19,29.07
T91199,U0022,2023-02-13,140.67
T31883,U0022,2023-01-03,61.72
T37373,U0022,2023-04-29,184.52
T32096,U0022,2023-01-05,130.38
T65086,U0022,2022-11-05,149.81
T92059,U0023,2023-05-20,24.02
T25210,U0023,2023-04-29,70.49
T55885,U0023,2023-06-21,183.7
T11819,U0023,2023-01-02,131.98
T83696,U0023,2023-03-07,78.14
T66687,U0023,2023-05-31,89.24
T37499,U0023,2022-10-30,71.0
T69676,U0023,2023-07-20,35.32
T69316,U0023,2023-07-04,83.25
T63482,U0023,2023-06-23,116.76
T74452,U0023,2022-11-06,206.61
T62985,U0023,2023-05-09,101.14
T33393,U0023,2023-07-18,143.18
T72076,U0023,2022-11-27,17.44
T50108,U0024,2022-12-17,43.91
T66550,U0024,2022-11-05,153.15
T62102,U0024,2022-08-25,80.79
T94776,U0024,2022-10-21,0.52
T98710,U0024,2023-03-02,143.13
T40351,U0024,2022-06-17,3.59
T10125,U0024,2022-09-26,136.94
T60187,U0024,2023-01-24,22.62
T67214,U0024,2022-06-24,317.18
T74942,U0024,2023-01-31,45.88
T62821,U0024,2023-01-19,39.59
T86573,U0024,2022-08-19,16.12
T32016,U0025,2023-06-13,24.49
T27651,U0025,2023-02-23,14.83
T21073,U0025,2023-05-19,108.78
T66570,U0025,2023-03-26,0.19
T19089,U0025,2023-03-05,19.65
T13091,U0025,2023-03-26,2.95
T19530,U0025,2022-12-04,18.26
T28662,U0025,2022-12-08,20.01
T64647,U0026,2022-02-15,91.47
T66090,U0026,2022-10-26,92.17
T14615,U0026,2022-05-25,2.32
T93986,U0026,2022-04-07,38.88
T31271,U0026,2022-01-30,101.2
T31648,U0026,2022-09-04,16.13
T92938,U0026,2022-02-09,118.88
T45281,U0026,2022-01-29,137.01
T14828,U0026,2022-08-30,401.57
T80286,U0026,2022-09-12,23.55
T15027,U0026,2022-07-31,174.37
T68174,U0026,2022-03-22,73.46
T36589,U0026,2022-10-07,46.75
T26472,U0026,2022-02-19,13.05
T40402,U0026,2022-07-07,132.99
T38559,U0027,2023-02-07,91.19
T14236,U0027,2023-01-08,133.05
T58195,U0027,2023-01-05,640.55
T98648,U0028,2023-02-05,40.72
T29727,U0028,2023-03-14,2.65
T14066,U0028,2023-05-15,2.45
T77453,U0028,2023-01-23,178.2
T35793,U0028,2023-04-25,31.89
T78918,U0028,2022-10-14,73.0
T11904,U0028,2023-03-14,35.49
T93625,U0028,2022-10-14,282.48
T14356,U0028,2022-11-14,30.02
T56419,U0028,2022-12-30,56.15
T79916,U0028,2022-11-11,206.14
T55509,U0028,2023-01-12,184.47
T96097,U0028,2022-11-26,20.59
T59696,U0028,2022-10-28,162.27
T70031,U0028,2023-01-13,61.28
T75499,U0029,2023-02-23,151.51
T64548,U0029,2023-03-15,0.71
T39978,U0029,2023-09-01,5.9
T10543,U0029,2023-04-20,25.52
T36953,U0029,2023-08-03,14.08
T50362,U0029,2023-10-06,50.89
T80974,U0029,2023-04-23,255.91
T74183,U0030,2022-09-23,28.71
T98950,U0030,2022-06-08,31.74
T60528,U0030,2022-09-30,142.46
T57173,U0030,2022-08-04,59.74
T56262,U0030,2022-09-30,149.93
T88897,U0030,2022-11-19,6.76
T86065,U0031,2022-10-18,13.7
T96492,U0031,2022-09-04,213.82
T74077,U0031,2022-06-19,50.0
T67954,U0031,2022-05-27,175.95
T79932,U0031,2022-11-09,154.98
T25401,U0031,2022-03-25,97.93
T75193,U0031,2022-09-16,68.22
T22131,U0031,2022-08-29,388.98
T48114,U0031,2022-03-11,15.66
T83280,U0031,2022-05-13,129.16
T67886,U0031,2022-07-09,21.22
T11325,U0031,2022-08-11,41.29
T36642,U0031,2022-11-07,36.92
T43522,U0031,2022-09-23,293.81
T26908,U0031,2022-07-30,342.21
T83065,U0032,2022-12-01,128.31
T96084,U0032,2022-12-18,7.01
T79562,U0032,2022-10-18,123.04
T15440,U0032,2023-01-05,78.43
T43798,U0032,2022-09-17,8.53
T18273,U0032,2023-04-08,61.3
T28758,U0032,2022-09-12,66.3
T65445,U0032,2022-11-22,18.13
T84950,U0032,2022-08-23,291.32
T90529,U0032,2022-08-23,189.7
T18710,U0032,2022-07-21,110.57
T45904,U0033,2022-12-02,34.33
T52807,U0033,2022-11-13,154.63
T32054,U0033,2022-12-25,11.87
T93817,U0033,2022-10-05,44.0
T93789,U0034,2023-04-12,18.0
T15099,U0034,2023-06-02,40.08
T14343,U0034,2022-11-20,141.37
T84254,U0034,2022-11-03,73.27
T74881,U0034,2023-07-06,22.93
T56649,U0035,2023-02-12,106.94
T85643,U0035,2022-11-06,172.66
T99163,U0035,2022-10-13,47.87
T88271,U0035,2023-04-09,149.44
T90328,U0035,2022-12-28,333.76
T37141,U0035,2022-09-09,22.79
T80223,U0035,2023-04-23,74.09
T20622,U0035,2022-08-08,33.85
T70822,U0035,2022-09-17,157.43
T50863,U0035,2023-03-18,86.18
T37550,U0035,2023-03-24,100.67
T60817,U0035,2022-08-26,159.91
T91247,U0035,2022-10-18,50.41
T97243,U0035,2022-08-24,246.62
T78952,U0035,2023-02-25,76.15
T41208,U0035,2023-04-01,17.19
T95139,U0035,2022-12-27,119.04
T57975,U0036,2023-03-18,194.4
T41573,U0036,2023-03-14,12.52
T56524,U0036,2023-04-07,134.6
T68877,U0036,2022-10-20,38.52
T40730,U0036,2022-08-07,445.81
T82157,U0036,2023-02-03,66.43
T98914,U0036,2022-11-04,13.06
T94697,U0036,2022-07-06,129.17
T30824,U0036,2022-10-07,39.01
T82594,U0036,2022-12-21,583.55
T62886,U0036,2022-10-13,390.12
T30154,U0036,2022-10-07,106.75
T80107,U0036,2023-03-15,13.91
T56143,U0036,2023-03-01,116.11
T85044,U0037,2022-09-08,20.75
T16601,U0037,2022-12-02,195.32
T23347,U0037,2022-07-28,170.96
T24733,U0037,2022-07-07,77.83
T55993,U0037,2022-10-09,123.87
T74608,U0038,2023-08-04,42.76
T21021,U0038,2023-08-07,59.85
T74663,U0038,2023-08-17,138.16
T98360,U0038,2023-05-14,105.31
T27759,U0038,2023-03-20,97.0
T72475,U0038,2023-10-16,43.44
T36956,U0038,2023-10-07,184.17
T41593,U0038,2023-06-08,63.73
T54848,U0038,2023-09-08,386.82
T73584,U0038,2023-08-09,100.55
T45874,U0038,2023-07-12,13.5
T14810,U0038,2023-06-15,112.76
T84563,U0038,2023-07-02,39.32
T31595,U0038,2023-02-06,115.94
T51767,U0039,2022-09-17,164.71
T63893,U0039,2022-07-26,6.09
T91556,U0039,2022-07-02,229.11
T52962,U0039,2022-03-01,105.2
T19881,U0039,2022-11-02,207.33
T83539,U0039,2022-07-06,0.02
T30150,U0039,2022-09-07,18.52
T92754,U0039,2022-05-06,49.39
T24007,U0039,2022-03-04,47.72
T23397,U0039,2022-12-19,25.71
T46543,U0039,2022-07-21,48.06
T29434,U0039,2022-09-07,13.79
T16381,U0039,2022-03-21,53.23
T30695,U0039,2022-10-13,162.13
T12402,U0039,2022-06-25,65.21
T64562,U0039,2022-07-20,1.82
T84898,U0039,2022-04-08,54.72
T98430,U0040,2023-02-06,33.06
T57526,U0040,2022-12-16,206.16
T38814,U0040,2023-04-08,11.94
T84862,U0040,2023-02-02,121.63
T36182,U0040,2022-11-27,77.8
T15392,U0040,2022-12-24,10.15
T51552,U0040,2023-06-07,27.69
T96612,U0040,2023-03-25,1.25
T68704,U0040,2023-06-16,63.26
T80460,U0040,2023-02-25,35.85
T64777,U0040,2023-03-30,91.22
T64492,U0040,2022-11-07,35.27
T75075,U0040,2022-11-17,35.66
T81748,U0040,2023-05-14,135.94
T11148,U0040,2023-01-07,4.93
T86125,U0040,2023-01-04,233.2
T20612,U0041,2022-11-22,158.27
T72770,U0041,2023-03-25,3.53
T14576,U0041,2023-03-10,87.42
T82485,U0041,2023-02-14,538.99
T52887,U0041,2023-03-20,193.58
T91942,U0041,2023-03-27,73.7
T66160,U0041,2023-08-02,6.58
T24735,U0041,2023-05-22,178.01
T31317,U0041,2022-12-06,91.37
T69866,U0041,2023-01-21,12.21
T83355,U0042,2022-06-19,18.7
T59428,U0042,2022-12-17,295.86
T61173,U0042,2022-07-19,58.92
T35878,U0042,2022-05-23,155.5
T60209,U0042,2022-07-30,102.06
T29856,U0042,2022-11-05,112.83
T24828,U0042,2022-07-01,14.12
T54019,U0042,2022-05-30,26.68
T18576,U0042,2022-10-09,154.53
T97590,U0042,2022-06-10,353.24
T73078,U0042,2022-08-16,30.47
T49272,U0043,2023-07-22,222.08
T38070,U0043,2023-01-18,0.29
T37402,U0043,2023-02-02,4.06
T64722,U0043,2023-07-27,92.65
T99901,U0044,2022-08-20,0.77
T71470,U0044,2022-09-05,24.73
T35896,U0044,2023-01-15,3.74
T70727,U0044,2022-10-08,11.43
T98921,U0044,2023-03-06,41.38
T20750,U0044,2023-01-11,162.25
T50963,U0044,2022-11-12,84.87
T10948,U0044,2022-10-07,71.88
T32844,U0044,2022-11-24,34.74
T69873,U0044,2022-07-07,268.46
T84474,U0045,2022-03-03,59.89
T96919,U0045,2022-03-07,265.11
T77955,U0045,2022-02-11,18.06
T66678,U0045,2022-10-29,49.41
T44034,U0045,2022-03-25,130.88
T41654,U0045,2022-07-27,213.93
T52954,U0045,2022-03-07,111.15
T94741,U0045,2022-03-05,29.86
T47678,U0045,2022-08-05,112.27
T10816,U0045,2022-10-19,35.2
T54345,U0045,2022-06-21,126.74
T93042,U0046,2022-12-07,205.26
T67085,U0046,2023-05-01,29.66
T68313,U0046,2023-05-22,109.45
T24444,U0046,2023-05-06,161.12
T58685,U0046,2023-07-02,108.67
T70235,U0046,2023-05-25,9.68
T46818,U0046,2023-05-23,90.71
T36813,U0047,2022-09-12,44.93
T44215,U0047,2022-10-11,90.06
T28149,U0047,2023-01-31,1.02
T78810,U0047,2023-02-18,101.09
T54498,U0047,2022-11-10,244.52
T25422,U0047,2022-07-31,94.82
T46380,U0047,2023-03-05,206.91
T69583,U0047,2023-04-01,128.73
T41164,U0047,2022-10-03,12.85
T62088,U0047,2023-01-08,232.74
T61501,U0048,2023-06-20,42.03
T84955,U0048,2022-12-25,130.63
T35785,U0048,2023-06-30,105.64
T17685,U0048,2023-05-28,186.82
T63983,U0048,2023-05-06,117.93
T12349,U0048,2022-12-06,56.2
T43747,U0048,2022-11-23,111.77
T21735,U0048,2023-02-09,32.21
T38883,U0049,2022-08-03,56.38
T73301,U0049,2022-05-03,38.4
T22151,U0049,2022-10-08,87.27
T28726,U0049,2023-01-16,46.39
T52165,U0049,2022-10-15,91.9
T48060,U0049,2022-09-06,122.28
T39026,U0049,2022-09-22,116.61
T62981,U0049,2022-05-14,46.93
T34620,U0050,2022-11-23,2.58
T98912,U0050,2023-05-31,103.8
T14023,U0050,2023-01-11,101.31
T91784,U0050,2023-05-28,41.64
T87790,U0050,2023-01-02,7.44
T42067,U0050,2023-04-13,52.7
T60918,U0050,2023-08-18,37.28
T45577,U0051,2022-03-23,14.59
T15543,U0051,2022-07-13,10.46
T77499,U0051,2022-05-14,23.43
T33034,U0051,2022-08-10,259.88
T96667,U0051,2022-02-18,53.47
T59887,U0051,2022-05-11,50.32
T32148,U0051,2022-03-26,37.57
T32755,U0051,2022-04-03,15.91
T70914,U0052,2023-01-03,34.02
T55642,U0052,2023-01-06,324.77
T10604,U0052,2022-10-10,49.34
T54854,U0052,2023-02-20,48.7
T74587,U0052,2023-01-05,41.61
T75116,U0052,2022-10-08,77.96
T22611,U0052,2022-11-29,16.74
T93917,U0052,2023-01-15,80.68
T68259,U0052,2023-03-18,78.02
T59986,U0052,2023-06-04,143.51
T10267,U0052,2023-03-23,179.37
T56910,U0052,2023-06-15,58.06
T72576,U0053,2023-01-13,212.29
T57407,U0053,2022-11-16,97.66
T29713,U0053,2023-06-03,84.25
T47643,U0053,2022-10-17,96.93
T44964,U0053,2023-02-12,22.48
T33885,U0053,2022-12-27,50.28
T24616,U0053,2023-07-03,4.03
T92822,U0053,2023-01-29,64.54
T12917,U0053,2023-01-15,78.31
T90512,U0053,2023-02-12,25.84
T30411,U0053,2023-06-26,332.5
T85228,U0053,2023-01-03,240.19
T27130,U0054,2023-06-07,297.81
T84058,U0054,2023-02-01,71.93
T48972,U0054,2023-05-05,9.84
T47300,U0054,2023-08-19,140.5
T52145,U0054,2023-05-14,67.71
T58800,U0054,2023-08-19,36.02
T89554,U0054,2022-12-21,67.61
T70468,U0054,2023-06-18,73.91
T35041,U0054,2023-01-05,82.72
T85184,U0054,2023-01-31,58.2
T87881,U0054,2022-12-28,93.08
T29693,U0054,2023-02-24,251.0
T42467,U0054,2023-01-02,44.98
T33163,U0055,2022-08-24,64.79
T78394,U0055,2022-10-03,116.39
T83292,U0055,2022-05-19,128.27
T21003,U0055,2022-05-29,117.94
T52186,U0055,2022-08-20,14.44
T10382,U0055,2022-10-23,35.58
T55488,U0055,2022-11-13,44.43
T64989,U0055,2022-08-08,163.19
T68543,U0055,2022-04-15,32.68
T42723,U0055,2022-06-22,23.66
T60547,U0055,2022-10-09,315.7
T44645,U0055,2022-07-23,0.89
T37405,U0055,2022-04-30,612.88
T76339,U0055,2022-12-17,112.95
T77175,U0055,2022-03-11,176.3
T88621,U0055,2022-09-03,34.9
T91933,U0055,2022-12-10,1.44
T40603,U0055,2022-09-22,133.89
T46853,U0055,2022-06-20,179.66
T66488,U0056,2023-01-16,276.61
T67495,U0056,2023-04-30,172.56
T66937,U0056,2023-07-30,165.64
T25564,U0057,2022-09-17,11.03
T52790,U0057,2022-05-11,50.93
T74623,U0057,2022-10-17,128.43
T79401,U0058,2023-06-12,27.74
T83339,U0058,2022-12-09,65.06
T80093,U0058,2022-12-06,15.69
T44547,U0058,2023-06-11,123.83
T58589,U0058,2023-04-01,109.92
T37635,U0058,2023-03-17,23.71
T88363,U0058,2023-07-12,199.07
T57802,U0058,2022-11-09,51.3
T48128,U0058,2022-11-25,34.6
T83151,U0058,2022-12-17,16.53
T17296,U0058,2023-01-26,30.95
T60079,U0058,2022-10-11,2.23
T17572,U0058,2022-11-30,87.53
T17855,U0058,2023-02-17,184.66
T51859,U0058,2023-03-06,79.62
T82147,U0058,2023-05-17,24.75
T66092,U0059,2022-03-01,74.71
T54448,U0059,2022-04-02,62.21
T28233,U0059,2022-11-10,26.74
T50791,U0059,2022-11-16,36.12
T12460,U0059,2022-09-10,34.24
T42901,U0059,2022-03-11,82.85
T36083,U0059,2022-08-10,12.78
T96199,U0059,2022-03-03,248.64
T94271,U0059,2022-03-12,127.53
T70540,U0059,2022-04-23,51.32
T45396,U0059,2022-02-18,17.27
T71730,U0059,2022-04-03,213.7
T99292,U0059,2022-04-01,173.6
T83825,U0059,2022-07-06,127.91
T64484,U0059,2022-07-18,31.68
T26976,U0060,2022-10-16,37.59
T50292,U0060,2023-03-27,155.56
T38171,U0060,2022-12-30,222.44
T52651,U0060,2023-04-29,56.88
T39122,U0060,2022-11-02,240.73
T80866,U0060,2023-02-28,47.37
T75372,U0060,2023-05-19,332.64
T95752,U0060,2023-02-23,9.35
T95790,U0060,2022-10-25,116.16
T76677,U0060,2023-04-19,68.09
T99352,U0060,2023-01-02,49.04
T26594,U0060,2023-01-01,100.16
T67868,U0060,2022-12-15,121.69
T88719,U0060,2022-11-27,0.44
T25760,U0060,2022-10-02,18.27
T71711,U0060,2022-11-13,124.84
T67857,U0060,2022-12-23,109.78
T80055,U0060,2022-12-13,338.28
T45771,U0060,2023-01-07,143.14
T25464,U0061,2023-01-01,127.17
T47701,U0061,2022-06-28,46.39
T91040,U0061,2022-10-13,203.84
T12956,U0061,2022-04-16,131.12
T53212,U0061,2022-10-23,104.33
T32406,U0061,2022-08-13,159.08
T68345,U0061,2023-01-13,140.25
T11818,U0061,2022-07-05,3.66
T94350,U0061,2022-04-23,50.21
T68949,U0061,2022-05-06,267.09
T59774,U0061,2022-08-19,13.44
T22126,U0061,2022-12-07,133.6
T49373,U0061,2022-11-08,367.27
T11273,U0061,2022-11-17,5.36
T28802,U0061,2022-04-08,114.63
T69125,U0061,2022-10-22,63.14
T32753,U0061,2022-11-10,86.55
T63509,U0061,2022-07-04,8.92
T59867,U0061,2022-04-26,4.4
T13000,U0062,2022-04-13,3.19
T30804,U0062,2022-06-21,133.26
T94366,U0062,2022-04-18,40.08
T37385,U0062,2022-07-11,236.52
T30905,U0062,2022-04-17,31.02
T95060,U0062,2022-04-08,129.05
T70819,U0062,2022-04-17,210.08
T19783,U0062,2022-05-08,4.25
T44417,U0062,2022-04-10,50.69
T44342,U0062,2022-03-08,143.68
T54775,U0062,2022-08-07,60.68
T94624,U0062,2022-06-05,31.1
T62916,U0062,2022-11-30,24.82
T46197,U0062,2022-11-08,14.1
T81619,U0062,2022-07-11,194.58
T55500,U0063,2023-07-05,102.68
T87234,U0063,2023-06-23,84.55
T30011,U0063,2023-08-09,83.95
T93354,U0063,2023-08-20,108.77
T15945,U0063,2023-06-10,79.49
T71159,U0063,2023-05-13,211.41
T69161,U0063,2023-08-11,112.57
T51289,U0063,2023-06-01,79.18
T98741,U0063,2023-02-01,177.06
T70590,U0063,2023-02-23,93.18
T70550,U0063,2023-01-06,34.41
T69708,U0063,2023-08-31,23.21
T92730,U0064,2022-04-20,137.61
T57214,U0064,2022-07-20,64.21
T48118,U0064,2022-06-12,5.96
T60114,U0064,2022-04-14,316.51
T61038,U0064,2022-08-20,285.99
T16416,U0064,2022-07-30,153.8
T60017,U0065,2022-07-20,74.92
T89003,U0065,2022-12-12,236.89
T29087,U0065,2022-03-27,17.9
T25087,U0065,2022-12-02,102.95
T95465,U0065,2022-10-18,166.0
T45653,U0065,2022-03-16,294.49
T32285,U0065,2022-04-27,41.15
T73767,U0065,2022-05-28,129.09
T34008,U0065,2022-09-14,77.4
T29416,U0065,2022-03-25,6.25
T19012,U0065,2022-03-24,117.12
T81690,U0065,2022-11-21,117.15
T11445,U0065,2022-08-27,266.8
T18924,U0066,2022-12-24,264.03
T95429,U0066,2022-06-13,143.07
T87167,U0066,2022-09-28,79.16
T32124,U0066,2022-12-02,19.88
T31648,U0066,2022-05-05,61.36
T38032,U0066,2022-11-30,82.3
T53719,U0066,2022-06-20,199.48
T13694,U0066,2022-08-20,65.65
T99294,U0066,2023-01-22,227.96
T99177,U0066,2022-06-05,112.19
T76986,U0066,2023-02-08,14.73
T56931,U0067,2022-11-10,61.43
T92795,U0067,2022-10-02,251.81
T77503,U0067,2023-02-24,19.37
T48654,U0067,2022-11-30,24.07
T59558,U0067,2023-03-09,1.31
T35066,U0067,2023-06-20,1.43
T45351,U0067,2022-11-28,176.84
T82128,U0067,2023-05-31,131.72
T77283,U0067,2022-11-08,43.86
T42200,U0067,2023-03-24,119.84
T32648,U0067,2023-03-27,50.29
T32874,U0067,2022-12-20,305.54
T51837,U0067,2023-02-07,341.28
T24515,U0068,2023-03-31,69.09
T10837,U0068,2022-11-18,1.22
T60212,U0068,2023-02-12,0.91
T13856,U0068,2022-12-19,44.17
T53888,U0068,2023-01-30,260.63
T52152,U0068,2023-05-16,25.96
T10755,U0068,2023-02-02,100.61
T45048,U0068,2023-02-06,25.11
T26114,U0068,2023-07-10,38.81
T10270,U0068,2023-02-11,188.42
T96360,U0069,2022-10-13,461.38
T87158,U0069,2023-04-18,309.77
T73262,U0069,2022-10-23,68.26
T99426,U0069,2022-12-16,71.89
T20667,U0069,2022-12-02,65.69
T46123,U0069,2023-01-03,100.91
T45796,U0069,2022-07-24,9.51
T66165,U0069,2023-02-27,3.32
T34219,U0069,2023-04-05,5.94
T65442,U0069,2023-03-19,58.76
T95652,U0070,2022-08-27,25.97
T74505,U0070,2023-05-11,313.09
T96656,U0070,2023-01-30,16.04
T50133,U0070,2022-12-04,113.8
T58309,U0070,2023-02-07,25.48
T53162,U0070,2022-11-09,56.45
T91397,U0070,2022-10-31,127.0
T48512,U0070,2022-12-02,82.86
T35539,U0070,2023-04-24,55.77
T61885,U0070,2022-10-07,39.5
T34596,U0070,2023-01-11,183.05
T25703,U0070,2022-12-04,15.53
